Series 1: ,
8.800437146,4.087272727
45.45454545,4.070909091
72.96310144,4.065454545
105.0372437,4.051818182
132.5314199,4.040909091
160.0327859,4.032727273
182.954186,4.027272727
205.8540163,4.013636364
233.3553824,4.005454545
260.8639383,4
270.0166806,3.991818182
292.9380806,3.986363636
311.2723246,3.980909091
343.3680366,3.975454545
361.7094705,3.972727273
380.0437146,3.967272727
384.6093009,3.959090909
402.9507348,3.956363636
412.1178568,3.953636364
425.8721348,3.950909091
430.4521009,3.948181818
439.612033,3.942727273
444.1848092,3.937272727
471.7005551,3.934545455
503.7890771,3.926363636
522.1233212,3.920909091
531.2832533,3.915454545
554.2046533,3.91
567.9589313,3.907272727
590.8659515,3.896363636
600.0330735,3.893636364
613.7801616,3.888181818
627.5416295,3.888181818
636.7015616,3.882727273
659.6229617,3.877272727
691.7186736,3.871818182
719.2200397,3.863636364
742.1342498,3.855454545
765.0484599,3.847272727
787.9554801,3.836363636
810.89126,3.836363636
820.0511921,3.830909091
847.5597481,3.825454545
865.8939921,3.82
897.9897041,3.814545455
911.7224124,3.803636364
934.6510023,3.800909091
952.9852463,3.795454545
975.9210261,3.795454545
998.8352363,3.787272727
1012.582324,3.781818182
1030.923758,3.779090909
1040.069311,3.768181818
1076.744989,3.76
1095.072043,3.751818182
1122.580599,3.746363636
1150.096345,3.743636364
1173.010555,3.735454545
1195.931955,3.73
1218.860545,3.727272727
1237.187599,3.719090909
1255.514653,3.710909091
1269.261741,3.705454545
1296.770297,3.7
1324.271663,3.691818182
1351.787409,3.689090909
1383.890311,3.686363636
1397.637399,3.680909091
1411.377297,3.672727273
1429.725921,3.672727273
1448.060165,3.667272727
1461.814443,3.664545455
1489.322999,3.659090909
1507.657243,3.653636364
1530.585833,3.650909091
1558.087199,3.642727273
1585.595755,3.637272727
1617.684277,3.629090909
1649.772799,3.620909091
1672.679819,3.61
1681.861321,3.612727273
1718.536999,3.604545455
1741.465589,3.601818182
1782.728423,3.593636364
1819.418481,3.590909091
1833.165569,3.585454545
1874.442783,3.582727273
1906.552875,3.582727273
1943.228553,3.574545455
2016.630238,3.577272727
2034.957292,3.569090909
2076.220126,3.560909091
2112.917374,3.560909091
2126.664462,3.555454545
2149.593052,3.552727273
2195.443042,3.544545455
2245.901757,3.544545455
2300.947629,3.544545455
2346.790429,3.533636364
2383.494866,3.536363636
2420.163355,3.525454545
2488.963504,3.522727273
2589.852176,3.511818182
2626.513474,3.498181818
2667.776308,3.49
2695.292054,3.487272727
2736.547698,3.476363636
2754.860372,3.462727273
2814.48621,3.46
2851.183457,3.46
2887.844756,3.446363636
2924.520434,3.438181818
2952.02899,3.432727273
3020.821949,3.427272727
3066.657559,3.413636364
3112.4716,3.391818182
3144.581692,3.391818182
3176.684593,3.389090909
3208.765926,3.378181818
3240.832878,3.361818182
3268.334244,3.353636364
3291.234074,3.34
3327.880993,3.320909091
3332.41063,3.299090909
3350.694544,3.274545455
3364.376923,3.244545455
3387.269564,3.228181818
3400.944753,3.195454545
3405.44563,3.162727273
3423.686405,3.121818182
3428.194472,3.091818182
3432.709729,3.064545455
3451.015214,3.048181818
3469.255989,3.007272727
3469.16252,2.971818182
3478.250554,2.939090909
3478.092376,2.879090909
3478.027667,2.854545455
3487.1157,2.821818182
3487.022231,2.786363636
3486.892813,2.737272727
3495.966466,2.699090909
3495.851428,2.655454545
3509.483478,2.606363636
3504.802853,2.570909091
